bfi1,bfi2,bfi3,bfi4,bfi5,bfi6,bfi7,bfi8,bfi9,bfi10,bfi11,bfi12,bfi13,bfi14,bfi15,bfi16,bfi17,bfi18,bfi19,bfi20,bfi21,bfi22,bfi23,bfi24,bfi25,bfi26,bfi27,bfi28,bfi29,bfi30,bfi31,bfi32,bfi33,bfi34,bfi35,bfi36,bfi37,bfi38,bfi39,bfi40,bfi41,bfi42,bfi43,bfi44,arc1,arc2,arc3,arc4,arc5,arc6,arc7,arc8,arc9,arc10,arc11,arc12,malo1,malo2,malo3,malo4,malo5,malo6,malo7,malo8,malo9,malo10,malo11,malo12,sfpq1_1,sfpq1_2,sfpq1_3,sfpq1_4,sfpq1_5,sfpq1_6,sfpq1_7,sfpq2_1,sfpq2_2,sfpq2_3,sfpq2_4,sfpq2_5,sfpq2_6,sfpq2_7,sfpq3_1,sfpq3_2,sfpq3_3,sfpq3_4,sfpq3_5,sfpq3_6,sfpq3_7,mwd1,mwd2,mwd3,mwd4,mws1,mws2,mws3,mws4,eese1,eese2,eese3,eese4,eese5,eese6,eese7,eese8,eesi1,eesi2,eesi3,eesi4,eesi5,eesi6,eesi7,eesi8,tas5,tas13,tas21,tas30,tas37,tas45,tas53,tas60,tas68,tas73,tas81,tas90,tas99,tas108,tas116,tas123,tas131,tas141,tas149,tas156,tas165,tas173,tas182,tas189,tas197,tas208,tas215,tas223,tas231,tas238,tas249,tas257,tas265,tas273,d_eng,d_age,d_gender,attn1b,attn1b_8_TEXT,attn2,ARCES,MAASLO,SFPQT,MWS,MWD,IF,EF,TAS,extra,agree,consci,neurot,open
4,2,5,2,4,4,4,4,2,5,4,4,5,4,4,4,2,4,4,5,4,2,5,2,4,4,4,5,4,4,3,4,5,2,4,3,4,5,4,4,3,4,4,3,3,3,2,2,3,3,3,3,2,3,3,2,2,2,2,2,3,2,4,3,4,3,3,1,4,3,4,4,4,4,3,3,3,4,4,3,3,3,4,3,4,4,4,4,4,5,4,5,4,5,3,5,3,5,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,2,2,3,2,2,3,3,2,2,2,2,3,1,1,2,1,2,1,3,2,3,3,2,1,1,3,1,2,1,1,1,3,1,2,1,39,female,8,I read the instructions,2,2.916666667,2.583333333,3.619047619,4,4.5,6,5.625,1.941176471,3.75,3.333333333,4.666666667,3,4
3,5,5,2,5,2,5,4,1,5,2,5,5,4,5,2,4,5,5,5,3,4,3,2,2,2,2,5,4,5,2,5,5,1,5,2,4,5,3,5,5,5,4,5,2,3,3,2,3,2,3,2,2,2,2,2,2,5,4,2,4,2,3,2,4,4,2,1,3,1,2,4,4,4,3,3,1,5,4,4,4,5,5,1,4,4,5,5,5,5,6,7,5,6,2,4,3,5,6,6,6,6,5,6,7,6,6,6,5,4,5,5,6,2,4,3,3,4,4,3,4,2,1,2,3,1,2,4,3,2,2,4,4,2,2,3,1,2,4,1,1,2,3,1,3,1,4,1,27,female,8,I read the instructions,2,2.5,2.916666667,3.619047619,3.75,5.75,5.375,5.875,2.558823529,2.25,4.333333333,4.555555556,2.75,4.7
3,4,4,2,4,4,3,4,3,5,3,4,3,2,4,2,4,4,2,3,4,4,4,2,4,4,4,4,2,3,4,3,4,2,3,4,4,3,2,3,4,4,4,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,4,2,2,2,2,4,3,2,2,4,3,3,3,3,2,2,4,2,2,2,2,2,2,4,3,3,3,3,3,1,4,3,3,3,3,3,3,3,4,5,4,5,4,4,5,5,4,4,3,4,4,3,4,4,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2,2,1,1,1,1,2,1,1,1,1,2,1,1,1,29,woman,8,I read the instructions,2,2.25,2.416666667,2.666666667,3,3.25,3.75,4.5,1.558823529,3.5,3.777777778,3.777777778,2.125,3.6
4,4,4,2,4,1,4,2,2,5,4,4,4,4,4,2,3,4,3,3,1,4,4,2,4,1,3,4,3,4,1,4,4,3,4,2,5,4,2,4,4,3,4,3,1,2,2,1,1,2,2,1,1,2,2,2,2,2,4,4,3,3,4,3,2,2,3,2,3,3,3,3,4,4,3,4,3,4,3,4,4,3,4,2,5,3,4,4,4,4,4,5,3,4,3,4,4,4,3,4,3,4,4,3,5,4,4,5,2,4,5,3,4,2,2,2,1,2,3,1,1,1,1,2,2,1,1,3,2,2,1,2,3,1,3,3,1,1,4,2,1,3,3,1,3,1,3,1,22,Male,8,I read the instructions,2,1.666666667,2.833333333,3.523809524,3.75,4,3.875,3.75,1.911764706,2,3.777777778,3.777777778,2.625,3.9
1,1,5,5,5,1,5,5,1,5,5,5,5,5,3,1,5,1,3,3,1,5,5,1,5,5,5,5,5,1,1,5,5,1,1,1,5,5,5,3,1,5,5,1,2,2,2,2,2,2,2,2,2,2,2,2,6,3,5,6,3,3,3,3,3,3,3,1,5,3,5,5,5,5,5,5,3,5,5,5,5,5,5,3,5,5,5,5,5,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,1,3,2,2,2,2,2,1,2,3,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,3,1,24,Male,8,I read the instructions,2,2.166666667,3.5,4.714285714,1,1,7,7,2.147058824,2,4.555555556,4.555555556,3.25,2.8
4,1,3,4,4,3,3,4,3,5,2,3,3,3,4,1,4,4,4,5,2,4,2,3,4,3,4,3,4,4,2,4,5,2,4,2,4,3,4,5,4,4,3,3,2,3,2,2,3,2,3,2,1,2,2,1,2,3,2,2,2,3,3,4,1,5,3,1,3,4,3,3,2,4,3,2,2,4,1,2,5,3,2,2,2,2,3,4,4,5,6,7,5,6,5,6,4,6,6,5,6,7,6,6,6,6,6,5,6,6,5,6,6,3,1,3,3,3,3,3,2,2,2,2,4,4,2,2,3,2,2,3,3,2,4,2,1,4,1,3,2,3,4,1,3,3,2,1,25,Male,8,I read the instructions,2,2.25,2.583333333,2.857142857,5.25,5.75,5.75,6,2.558823529,2.375,3.444444444,3.333333333,3.375,4.2
4,4,4,2,3,4,4,3,2,5,4,4,4,2,4,4,4,3,1,4,4,4,4,2,3,4,4,5,2,4,4,4,4,3,4,4,4,4,2,4,4,4,4,3,3,2,3,2,3,3,2,2,2,2,3,2,2,2,3,1,2,2,3,3,3,2,3,3,3,3,4,4,4,4,4,3,4,4,4,3,4,2,4,4,4,4,4,4,5,5,5,5,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,2,3,3,2,3,1,2,2,2,2,3,2,1,2,3,3,3,3,2,3,1,2,2,3,3,3,2,3,1,3,1,50,male,8,I read the instructions,2,2.583333333,2.416666667,3.761904762,2,4.25,5,5,2.411764706,4,4,3.888888889,2,3.8
4,5,5,1,4,4,4,5,1,4,4,5,5,2,4,2,4,5,1,4,4,4,5,1,3,1,4,5,1,3,2,4,5,1,4,4,2,5,1,4,4,5,5,2,1,2,3,2,2,2,1,2,1,2,2,2,2,2,1,3,1,1,3,1,4,1,2,1,4,4,3,4,2,2,3,4,2,5,2,1,3,2,3,2,2,1,2,4,4,5,5,3,3,4,2,1,2,4,5,6,5,5,5,6,6,5,5,4,3,4,4,3,3,2,2,1,2,1,3,2,1,1,1,2,2,1,1,2,1,2,1,2,2,1,2,2,1,1,2,2,2,1,2,1,2,1,2,1,38,female,8,I read the instructions,2,2,1.833333333,2.80952381,2.25,4,3.875,5.25,1.588235294,3.125,4.111111111,5,1.125,3.6
3,3,5,2,4,2,5,4,3,4,3,5,5,3,5,3,4,5,3,5,2,5,4,2,5,3,2,5,3,5,3,4,4,2,3,4,4,5,3,5,5,4,4,4,2,2,3,2,2,2,2,2,2,3,2,2,4,2,3,3,2,2,1,2,2,4,2,2,4,2,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,5,6,6,6,2,2,3,2,6,6,5,6,6,5,6,6,6,6,5,5,6,6,6,6,2,3,2,2,3,4,3,3,3,2,3,3,2,3,4,3,3,2,3,3,2,3,3,3,3,4,2,3,3,3,2,3,1,2,1,30,Male,8,I read the instructions,2,2.333333333,2.416666667,3.761904762,2.25,5.75,5.75,5.75,2.735294118,2.875,4,4.555555556,2.625,4.5
1,4,5,4,1,1,2,5,4,1,2,5,4,4,1,1,4,5,4,1,1,4,4,2,1,1,3,4,2,1,1,4,5,4,1,1,4,4,4,1,1,4,2,1,1,1,2,1,2,2,2,2,1,3,2,2,1,2,3,1,2,3,3,1,1,2,2,1,3,2,4,5,3,3,3,4,4,5,5,4,5,3,5,2,5,3,4,4,4,1,1,1,1,1,1,1,1,6,6,7,5,6,7,7,7,5,5,6,4,5,5,5,6,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,2,1,1,2,1,1,1,44,Male,8,I read the instructions,2,1.916666667,1.833333333,3.80952381,1,1,5.125,6.375,1.205882353,1.125,3.777777778,4.222222222,3.5,1
5,1,3,5,3,3,5,1,5,5,3,4,3,5,5,5,5,1,5,5,4,5,1,5,3,2,4,2,5,4,1,5,1,5,3,3,2,1,5,5,5,4,1,3,3,4,4,2,4,5,5,4,3,3,5,3,5,4,1,4,4,2,6,4,6,6,5,4,2,4,2,3,3,2,3,1,3,3,3,3,4,3,4,3,3,4,4,4,4,6,5,7,3,7,7,7,7,4,3,2,2,4,3,3,3,2,2,1,2,1,2,1,2,3,3,3,3,2,3,2,1,1,1,1,2,3,3,3,1,2,3,3,4,3,4,3,1,1,3,1,2,4,2,1,3,1,4,1,30,Male,8,I read the instructions,2,4.083333333,4.25,3.095238095,7,5.25,1.625,3,2.352941176,3.25,3.888888889,1.555555556,5,4.1
3,5,5,1,4,3,5,5,1,5,4,5,5,1,4,4,5,5,1,5,3,5,5,1,4,3,5,4,1,5,3,5,5,1,3,4,5,5,2,4,5,4,3,5,2,3,2,1,3,2,3,2,2,2,2,2,2,2,2,1,2,2,2,2,3,1,2,1,5,4,4,4,4,4,4,3,4,4,4,3,4,4,5,5,5,5,5,5,5,6,7,6,6,5,4,5,5,5,5,4,4,5,5,5,5,5,5,5,4,5,5,5,4,2,3,3,3,3,4,3,1,1,1,1,3,1,1,2,2,2,2,2,2,3,3,4,3,1,4,2,2,4,2,2,3,2,3,1,31,female,8,I read the instructions,2,2.333333333,1.833333333,4.285714286,4.75,6.25,4.75,4.75,2.352941176,3.375,4.888888889,4.666666667,1.125,4.4
4,3,4,1,2,4,4,4,3,3,4,5,4,1,2,2,4,4,1,4,4,4,5,2,3,4,3,5,2,5,5,4,4,2,4,4,4,3,2,3,5,5,3,4,3,3,3,3,3,3,3,3,3,3,3,2,4,2,4,2,3,2,2,2,3,3,2,3,3,2,3,3,3,3,2,4,2,5,4,5,4,3,5,5,5,5,4,5,5,4,3,3,2,5,3,4,4,5,4,3,4,4,6,5,3,3,5,4,2,3,5,5,3,1,4,2,2,2,3,3,2,2,2,1,4,1,2,3,3,3,2,2,2,3,2,3,2,2,3,3,2,1,2,1,2,1,4,1,32,Male,8,I read the instructions,2,3.166666667,2.666666667,3.80952381,4,3,3.75,4.25,2.264705882,3.875,4,4,1.75,3.5
2,2,2,2,2,2,3,4,4,2,4,4,2,4,3,3,3,2,4,4,2,3,4,4,2,3,2,3,2,4,2,3,4,2,3,3,4,3,3,3,3,4,4,2,2,2,4,2,2,3,4,4,2,2,4,3,5,3,4,5,3,2,2,3,4,2,3,4,2,3,2,4,3,4,3,4,4,3,2,2,3,2,2,2,2,3,4,2,3,5,2,5,6,3,5,2,6,2,6,5,4,3,4,2,4,4,3,2,5,3,4,6,4,3,3,3,2,3,3,2,3,3,2,3,3,3,3,3,3,2,2,3,3,2,3,3,3,2,3,2,2,4,3,3,3,2,2,1,42,female,8,I read the instructions,2,3.166666667,3.333333333,2.80952381,4,4.5,3.875,3.75,2.705882353,2.625,3.111111111,3.111111111,3.125,2.8
4,5,5,1,4,1,5,5,2,4,3,5,5,1,4,4,5,4,2,5,5,4,4,1,4,2,5,4,3,3,5,4,5,1,3,4,5,5,2,4,3,5,4,2,3,3,3,3,3,2,2,2,3,1,1,2,2,1,2,2,3,3,2,3,2,3,2,2,4,4,5,3,5,4,4,4,4,3,5,4,4,3,4,5,4,5,5,4,5,6,5,5,4,3,4,2,3,5,7,4,6,6,5,7,6,5,6,5,6,6,4,6,6,3,3,4,3,3,3,3,3,2,1,2,3,2,3,3,2,2,1,3,1,3,2,4,1,1,2,2,2,2,3,1,2,1,3,1,24,female,8,I read the instructions,2,2.5,2.25,4.19047619,3,5,5.5,5.75,2.323529412,3.5,4.777777778,4.555555556,1.625,3.6
4,5,5,1,5,1,4,4,1,5,5,5,5,1,5,5,4,5,2,5,5,4,5,1,1,5,5,5,2,5,5,5,5,1,5,5,5,5,1,5,5,4,5,5,2,2,1,3,3,3,1,2,3,3,1,2,1,1,1,1,1,1,1,1,5,2,1,1,3,1,4,5,3,4,4,3,5,5,4,3,4,2,4,5,4,4,4,5,5,6,6,5,5,3,1,3,2,6,6,7,6,6,6,6,7,6,6,1,6,6,7,6,7,2,4,3,2,1,4,3,2,1,2,1,2,3,2,3,2,2,1,3,3,2,1,3,2,3,3,2,3,3,2,1,3,1,4,1,31,Female,8,I read the instructions,2,2.333333333,1.416666667,3.857142857,2.25,5.5,5.625,6.25,2.323529412,4.375,4.555555556,4.888888889,1.25,4.6
2,4,4,2,3,2,3,3,2,5,2,5,4,2,4,2,4,3,1,5,2,4,2,2,2,2,3,3,2,5,2,3,4,3,2,2,3,3,1,4,5,3,3,5,2,3,4,1,5,3,4,2,2,2,3,3,1,2,3,2,2,3,3,3,4,2,2,2,2,3,4,4,3,4,4,2,3,3,4,2,3,2,3,3,3,4,4,4,4,7,7,7,7,5,2,6,5,4,4,5,4,5,5,5,5,5,6,6,4,5,5,5,5,2,3,3,4,1,3,4,1,1,1,1,2,1,2,3,1,1,1,1,2,4,3,3,1,1,2,2,1,3,3,1,3,2,2,1,43,female,8,I read the instructions,2,3,2.416666667,3.238095238,4.5,7,5.125,4.625,2.029411765,2,3.555555556,3.222222222,1.875,4
1,2,5,2,5,1,4,4,4,5,1,5,5,4,4,2,4,2,4,5,1,1,5,4,5,1,4,4,4,5,2,4,4,4,2,2,2,2,4,5,5,2,4,4,3,3,2,2,3,3,2,3,2,4,2,3,2,2,1,2,2,2,3,2,6,5,3,2,1,4,3,4,4,3,2,3,2,2,4,3,3,1,3,4,3,4,3,3,4,7,7,6,7,5,1,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,3,2,1,3,3,3,2,1,2,3,2,2,2,2,1,2,2,3,3,4,2,1,2,3,1,3,2,1,2,3,1,2,1,50,male,8,I read the instructions,2,2.916666667,2.666666667,3,3.5,6.75,5,5,2.147058824,1.375,3.111111111,3.888888889,3.75,4.5
1,4,3,2,4,1,3,4,4,4,2,4,3,4,3,2,3,4,5,5,1,2,2,2,2,3,2,4,3,2,1,4,3,4,1,1,5,4,5,5,4,2,4,2,2,1,3,2,2,2,4,3,2,4,3,3,2,5,4,3,2,3,4,3,2,6,2,2,2,3,3,3,3,3,2,2,3,4,4,3,3,4,5,2,5,3,5,5,4,6,7,7,6,6,4,4,5,5,5,4,4,4,4,5,4,6,5,6,4,5,6,5,5,2,3,2,3,1,2,4,2,2,1,3,2,1,1,3,1,1,2,1,2,2,4,2,3,3,2,3,2,1,2,1,3,1,3,2,29,male,8,I read the instructions,2,2.833333333,3.166666667,3.380952381,4.75,6.5,5.25,4.375,2.088235294,1.5,3.222222222,3.444444444,3.625,3.2
3,5,3,3,3,3,3,4,2,3,3,3,3,3,1,4,4,4,3,4,3,4,4,3,4,1,3,3,4,4,3,5,4,3,3,3,1,2,3,3,1,3,4,4,3,3,3,3,3,4,4,4,4,2,3,3,5,2,3,4,3,3,3,3,3,3,2,2,2,2,3,2,3,4,2,3,3,3,2,3,3,3,4,3,3,3,3,2,4,3,3,2,4,2,4,4,2,5,2,4,3,3,5,2,4,4,3,2,5,3,3,5,3,3,3,4,3,3,3,2,3,4,3,4,2,4,3,4,3,4,3,4,3,4,3,3,1,3,3,2,4,2,4,3,3,2,4,1,24,Female,8,I read instructions ,2,3.583333333,3,2.857142857,3,3,3.5,3.5,3.117647059,2.875,3.444444444,3.444444444,3,3
2,5,5,1,5,4,5,5,1,5,4,5,5,1,5,5,2,5,2,5,4,5,5,1,5,4,5,5,2,5,4,5,5,1,5,4,5,5,1,5,5,5,5,5,1,1,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,2,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,4,3,2,1,2,3,1,1,1,1,3,1,1,1,2,1,3,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,2,1,29,Male,8,I read the instructions,2,1.25,1.75,4.095238095,1.25,4.25,6,6,1.764705882,3.875,4.666666667,5,1.25,5
5,2,5,3,5,2,5,5,1,5,5,5,5,4,5,5,5,5,4,5,1,5,5,1,5,5,4,5,2,5,4,5,5,1,2,5,5,5,4,5,1,5,2,5,2,3,3,2,3,3,3,2,2,4,2,2,1,3,1,1,1,1,5,1,4,3,1,1,3,3,5,5,4,5,5,3,3,4,4,4,4,4,3,2,4,4,4,4,4,3,3,4,2,3,3,6,5,6,6,5,6,6,6,7,7,6,6,4,5,6,5,5,5,3,4,3,3,3,4,4,4,3,4,3,4,1,3,4,4,3,3,4,4,3,4,4,4,3,4,4,3,1,3,3,4,3,4,1,37,Male,8,I read the instructions,2,2.75,1.916666667,3.857142857,4.25,3,5.25,6.125,3.382352941,4,4.555555556,4.666666667,2.5,4.3
3,3,3,4,3,3,3,3,3,5,3,3,3,4,3,3,3,3,5,5,3,3,3,3,3,3,2,3,4,5,3,3,3,3,3,3,2,3,4,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,3,4,4,3,4,4,4,3,4,4,2,3,3,4,1,30,m,8,I read the instructions,2,3.25,3.333333333,3,4.75,6,4,4,3.294117647,3,2.888888889,3,3.75,4
5,4,4,2,4,5,5,1,3,5,5,5,5,4,5,5,5,1,4,5,5,5,2,3,5,4,4,4,4,4,5,5,4,4,3,5,3,5,4,5,5,5,2,4,3,3,3,4,3,3,3,3,3,3,3,3,1,4,2,1,4,3,2,4,4,1,4,4,3,2,4,4,3,3,4,3,3,4,4,3,4,3,4,3,5,2,3,5,4,7,6,5,4,5,2,5,5,5,3,4,2,4,4,3,2,5,4,5,3,4,3,4,5,2,4,3,3,3,4,3,1,1,1,3,4,1,1,4,3,1,4,4,3,4,3,3,3,1,3,1,3,4,4,3,3,1,4,1,38,Female,8,I read the instructions,2,3.333333333,2.833333333,3.476190476,4.25,5.5,4.125,3.375,2.735294118,4.875,4.555555556,3.111111111,3.5,4.5
1,4,5,2,3,1,4,5,2,4,2,5,5,3,4,2,3,5,5,4,1,2,5,2,2,4,2,5,2,4,2,4,5,2,4,1,5,4,4,3,4,4,4,4,2,2,3,2,3,3,2,3,2,3,3,2,3,2,4,3,3,3,4,3,3,4,2,1,3,4,3,4,4,4,3,3,4,4,4,4,4,3,4,4,3,4,4,4,4,5,5,6,5,3,2,5,2,6,5,6,5,5,6,6,5,3,3,3,2,3,2,2,2,2,3,3,3,2,3,3,3,3,1,2,3,1,3,2,2,2,3,3,2,2,2,3,1,2,2,2,3,2,2,1,3,1,3,2,43,Female,8,I read the instructions,2,2.75,2.916666667,3.714285714,3,5.25,2.5,5.5,2.294117647,1.75,3.666666667,4.777777778,2.75,3.6
5,2,5,5,5,1,5,2,1,4,5,1,4,5,5,5,5,1,4,5,1,5,2,1,5,5,2,4,4,5,2,5,5,1,1,5,1,5,5,5,1,5,2,5,5,5,4,5,5,3,5,4,4,5,4,5,6,5,5,5,6,5,6,5,5,6,6,6,2,5,4,5,4,5,4,2,5,4,5,4,5,4,2,5,4,5,4,5,4,6,7,7,7,7,7,6,6,7,7,6,7,6,7,6,7,6,7,7,6,7,6,7,6,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,18,FEMALE,8,I READ THE INSTRUCTIONS,2,4.833333333,5.5,4.142857143,6.5,6.75,6.5,6.625,3.941176471,3.625,3.444444444,3.333333333,3.25,4.1
5,5,2,1,4,5,2,2,2,2,4,5,2,2,2,4,4,4,1,5,4,4,5,4,5,5,5,4,5,4,4,4,2,2,2,4,5,4,2,4,2,4,4,5,3,2,4,3,4,3,3,3,4,3,2,2,3,4,5,4,4,4,4,5,4,4,4,2,5,1,1,1,4,5,5,5,1,2,3,4,3,4,5,1,4,4,5,5,5,4,5,5,4,2,2,2,2,4,5,4,5,6,6,6,6,5,5,6,5,3,3,5,4,3,4,3,3,3,3,3,3,3,3,2,3,2,3,3,3,2,3,3,3,3,2,3,2,2,3,3,3,2,3,3,2,3,4,1,31,female,8,I read the instructions,2,3.25,3.916666667,3.476190476,2,4.5,4.5,5.25,2.823529412,4.375,4.222222222,3.222222222,2.375,3.5
4,4,5,1,5,2,4,4,2,5,5,4,5,4,5,4,4,5,1,5,4,4,5,2,5,5,5,5,2,5,4,4,5,2,5,4,4,4,4,5,5,4,4,5,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,4,1,1,4,1,2,2,1,1,3,4,4,3,4,4,3,3,2,4,4,3,5,4,4,4,4,4,3,5,5,5,2,6,3,3,2,5,2,6,6,6,6,5,6,6,6,6,5,5,6,6,6,6,5,3,3,3,4,3,3,4,3,3,3,3,3,2,2,3,3,3,2,3,4,3,3,4,3,3,4,3,3,2,3,2,4,2,3,1,34,male,8,I read the instructions,2,2.25,1.833333333,3.761904762,3,4,5.625,5.875,3,4,4.111111111,4.666666667,2.25,5
4,4,4,1,4,1,3,4,5,3,5,2,3,3,1,5,2,2,1,5,5,4,5,2,4,2,3,4,5,1,2,1,4,3,2,4,5,4,5,2,4,3,5,4,4,5,2,3,3,2,5,4,2,3,4,4,5,5,1,5,5,3,1,2,5,5,1,1,5,3,4,1,4,4,4,5,3,3,4,4,5,5,5,3,3,4,4,4,4,5,7,5,6,4,4,5,5,6,4,4,3,4,6,6,6,6,7,1,7,7,1,6,6,4,4,4,4,1,1,1,2,4,4,3,4,3,3,3,3,4,4,3,1,3,4,3,4,4,4,3,2,4,4,3,3,2,2,1,29,Female,8,I read the instructions,2,3.75,3.25,3.857142857,4.5,5.75,5.125,4.875,3.088235294,3.5,3,3.888888889,3.125,3
2,2,5,2,3,2,3,5,1,4,4,2,5,4,4,3,1,5,3,3,2,1,5,2,3,2,2,5,4,2,2,2,5,1,1,1,1,5,1,2,2,2,5,1,2,2,3,2,3,3,3,3,2,3,2,2,1,1,5,3,2,1,2,2,5,2,2,2,3,3,5,5,4,4,3,3,3,5,5,3,5,3,4,3,5,5,4,4,4,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,3,1,1,3,1,1,1,2,1,2,1,3,1,37,Female,8,I read the instructions,2,2.75,2.333333333,3.952380952,1,1,6,6,1.382352941,2.25,1.777777778,5,2.25,2.5
4,4,5,2,4,2,4,4,2,5,4,4,3,4,3,3,5,4,2,4,2,4,5,2,4,3,4,5,3,3,2,4,3,2,2,3,5,5,4,4,4,4,3,3,2,2,2,2,3,2,3,2,2,3,2,2,4,2,3,4,2,4,3,2,4,3,2,2,4,2,4,4,4,4,3,3,3,4,4,3,5,2,5,4,4,4,4,4,5,3,3,3,2,3,3,4,4,4,4,4,3,3,3,4,5,3,4,5,4,4,4,5,4,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,3,3,2,2,2,2,2,2,2,2,2,2,1,3,1,4,1,24,Male,8,I read the instructions,2,2.416666667,2.916666667,3.761904762,3.5,2.75,4.125,3.75,2,2.875,4.222222222,4.111111111,2.625,3.6
4,3,4,4,4,2,4,3,3,4,4,4,4,4,4,3,4,3,4,4,2,4,3,2,4,3,3,3,5,4,2,4,4,3,2,4,4,4,4,4,1,4,3,4,3,2,4,4,4,2,3,4,2,3,3,2,3,2,5,4,4,4,3,1,3,3,2,2,3,2,3,3,3,2,3,5,4,4,2,4,3,4,5,3,5,3,4,4,5,5,5,5,5,5,5,4,3,4,3,5,2,5,4,4,4,3,3,5,2,3,4,4,4,3,2,3,3,3,4,3,3,3,2,3,4,1,1,1,3,3,2,2,3,2,3,3,3,1,1,3,1,3,3,1,3,1,3,1,23,Male,8,I read the instructions,2,3.333333333,3,3.523809524,4.25,5,3.5,3.875,2.441176471,3,3.777777778,3.444444444,3.625,3.5
2,3,5,1,3,3,3,4,2,4,3,5,5,2,3,3,2,4,1,3,4,3,5,3,3,4,3,5,2,4,4,3,4,2,2,4,5,5,1,4,3,3,3,2,3,3,2,3,3,3,3,3,2,4,4,3,1,3,3,4,2,2,3,2,2,2,2,2,2,3,3,4,3,3,1,2,3,3,2,3,3,1,5,5,5,4,5,5,5,6,5,5,4,3,5,4,3,5,5,6,4,5,5,4,4,3,3,2,2,2,3,3,2,2,1,2,3,2,3,3,1,2,1,3,4,1,2,3,3,2,2,3,3,1,3,2,3,1,3,1,2,2,2,3,3,1,4,1,33,Male,8,I read the instructions,2,3.25,2.333333333,3.333333333,3.75,5,2.5,4.75,2.264705882,3.375,3.333333333,4.444444444,1.75,3.1
3,5,5,1,5,1,5,5,1,5,4,5,5,5,5,5,5,5,1,5,1,5,5,1,5,5,5,5,5,5,1,5,5,1,2,3,5,5,1,5,5,4,5,5,4,5,4,3,5,4,4,3,2,5,4,4,5,1,1,5,1,1,1,4,6,1,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,7,7,7,1,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,4,1,4,1,1,4,1,4,1,4,4,1,1,1,1,1,1,4,4,1,4,4,4,4,1,4,4,4,4,4,4,1,4,1,31,female,8,I read the instructions,2,4.166666667,2.333333333,4.619047619,5.5,5.5,7,7,2.676470588,2.875,4.888888889,5,2,4.7
2,2,5,3,5,2,4,3,2,2,4,4,4,4,4,2,3,4,4,4,2,2,5,2,5,3,3,5,4,3,3,3,4,1,3,3,3,3,4,4,3,4,4,3,2,3,3,2,2,2,3,2,2,2,3,1,2,2,1,3,2,2,2,1,3,2,3,2,3,4,3,4,3,4,3,3,2,4,5,4,4,4,3,2,4,3,5,3,4,6,5,5,5,3,3,2,2,5,6,4,5,5,4,7,6,6,6,6,3,5,4,5,5,1,2,3,2,1,2,3,1,1,1,3,3,3,1,2,2,1,2,2,1,1,1,1,1,3,2,2,1,2,2,2,3,1,2,1,24,female,8,I read the instructions,2,2.416666667,2.083333333,3.523809524,2.5,5.25,5,5.25,1.794117647,2.625,3.111111111,4.111111111,3,3.6
